CondNum	Version	Item	Condition	Scalar	Subject	Are	Target	Period
1		1	some_UI	Some	alligators	are	reptiles	.
2			all_UI	All	alligators	are	reptiles	.
5			some_F	Some	alligators	are	weapons	.
6			all_F	All	alligators	are	trees	.
1		2	some_UI	Some	anacondas	are	reptiles	.
2			all_UI	All	anacondas	are	reptiles	.
5			some_F	Some	anacondas	are	weapons	.
6			all_F	All	anacondas	are	trees	.
1		3	some_UI	Some	ants	are	insects	.
2			all_UI	All	ants	are	insects	.
5			some_F	Some	ants	are	tools	.
6			all_F	All	ants	are	fruit	.
1		4	some_UI	Some	apples	are	fruit	.
2			all_UI	All	apples	are	fruit	.
5			some_F	Some	apples	are	insects	.
6			all_F	All	apples	are	flowers	.
1		5	some_UI	Some	apricots	are	fruit	.
2			all_UI	All	apricots	are	fruit	.
5			some_F	Some	apricots	are	insects	.
6			all_F	All	apricots	are	flowers	.
1		6	some_UI	Some	Audis	are	cars	.
2			all_UI	All	Audis	are	cars	.
5			some_F	Some	Audis	are	dogs	.
6			all_F	All	Audis	are	birds	.
1		7	some_UI	Some	bananas	are	fruit	.
2			all_UI	All	bananas	are	fruit	.
5			some_F	Some	bananas	are	insects	.
6			all_F	All	bananas	are	flowers	.
1		8	some_UI	Some	bazookas	are	weapons	.
2			all_UI	All	bazookas	are	weapons	.
5			some_F	Some	bazookas	are	birds	.
6			all_F	All	bazookas	are	reptiles	.
1		9	some_UI	Some	beagles	are	dogs	.
2			all_UI	All	beagles	are	dogs	.
5			some_F	Some	beagles	are	fish	.
6			all_F	All	beagles	are	cars	.
1		10	some_UI	Some	bears	are	mammals	.
2			all_UI	All	bears	are	mammals	.
5			some_F	Some	bears	are	trees	.
6			all_F	All	bears	are	insects	.
1		11	some_UI	Some	beeches	are	trees	.
2			all_UI	All	beeches	are	trees	.
5			some_F	Some	beeches	are	reptiles	.
6			all_F	All	beeches	are	mammals	.
1		12	some_UI	Some	bees	are	insects	.
2			all_UI	All	bees	are	insects	.
5			some_F	Some	bees	are	tools	.
6			all_F	All	bees	are	fruit	.
1		13	some_UI	Some	beetles	are	insects	.
2			all_UI	All	beetles	are	insects	.
5			some_F	Some	beetles	are	tools	.
6			all_F	All	beetles	are	fruit	.
1		14	some_UI	Some	birches	are	trees	.
2			all_UI	All	birches	are	trees	.
5			some_F	Some	birches	are	reptiles	.
6			all_F	All	birches	are	mammals	.
1		15	some_UI	Some	bombs	are	weapons	.
2			all_UI	All	bombs	are	weapons	.
5			some_F	Some	bombs	are	birds	.
6			all_F	All	bombs	are	reptiles	.
1		16	some_UI	Some	buffalo	are	mammals	.
2			all_UI	All	buffalo	are	mammals	.
5			some_F	Some	buffalo	are	trees	.
6			all_F	All	buffalo	are	insects	.
1		17	some_UI	Some	Buicks	are	cars	.
2			all_UI	All	Buicks	are	cars	.
5			some_F	Some	Buicks	are	dogs	.
6			all_F	All	Buicks	are	birds	.
1		18	some_UI	Some	canaries	are	birds	.
2			all_UI	All	canaries	are	birds	.
5			some_F	Some	canaries	are	cars	.
6			all_F	All	canaries	are	weapons	.
1		19	some_UI	Some	carnations	are	flowers	.
2			all_UI	All	carnations	are	flowers	.
5			some_F	Some	carnations	are	fruit	.
6			all_F	All	carnations	are	fish	.
1		20	some_UI	Some	carp	are	fish	.
2			all_UI	All	carp	are	fish	.
5			some_F	Some	carp	are	flowers	.
6			all_F	All	carp	are	dogs	.
1		21	some_UI	Some	cedars	are	trees	.
2			all_UI	All	cedars	are	trees	.
5			some_F	Some	cedars	are	reptiles	.
6			all_F	All	cedars	are	mammals	.
1		22	some_UI	Some	chainsaws	are	tools	.
2			all_UI	All	chainsaws	are	tools	.
5			some_F	Some	chainsaws	are	tools	.
6			all_F	All	chainsaws	are	insects	.
1		23	some_UI	Some	chameleons	are	reptiles	.
2			all_UI	All	chameleons	are	reptiles	.
5			some_F	Some	chameleons	are	weapons	.
6			all_F	All	chameleons	are	trees	.
1		24	some_UI	Some	Chevrolets	are	cars	.
2			all_UI	All	Chevrolets	are	cars	.
5			some_F	Some	Chevrolets	are	dogs	.
6			all_F	All	Chevrolets	are	birds	.
1		25	some_UI	Some	chihuahuas	are	dogs	.
2			all_UI	All	chihuahuas	are	dogs	.
5			some_F	Some	chihuahuas	are	fish	.
6			all_F	All	chihuahuas	are	cars	.
1		26	some_UI	Some	chisels	are	tools	.
2			all_UI	All	chisels	are	tools	.
5			some_F	Some	chisels	are	tools	.
6			all_F	All	chisels	are	insects	.
1		27	some_UI	Some	cockroaches	are	insects	.
2			all_UI	All	cockroaches	are	insects	.
5			some_F	Some	cockroaches	are	tools	.
6			all_F	All	cockroaches	are	fruit	.
1		28	some_UI	Some	cod	are	fish	.
2			all_UI	All	cod	are	fish	.
5			some_F	Some	cod	are	flowers	.
6			all_F	All	cod	are	dogs	.
1		29	some_UI	Some	cows	are	mammals	.
2			all_UI	All	cows	are	mammals	.
5			some_F	Some	cows	are	trees	.
6			all_F	All	cows	are	insects	.
1		30	some_UI	Some	crickets	are	insects	.
2			all_UI	All	crickets	are	insects	.
5			some_F	Some	crickets	are	tools	.
6			all_F	All	crickets	are	fruit	.
1		31	some_UI	Some	crocodiles	are	reptiles	.
2			all_UI	All	crocodiles	are	reptiles	.
5			some_F	Some	crocodiles	are	weapons	.
6			all_F	All	crocodiles	are	trees	.
1		32	some_UI	Some	crossbows	are	weapons	.
2			all_UI	All	crossbows	are	weapons	.
5			some_F	Some	crossbows	are	birds	.
6			all_F	All	crossbows	are	reptiles	.
1		33	some_UI	Some	crowbars	are	tools	.
2			all_UI	All	crowbars	are	tools	.
5			some_F	Some	crowbars	are	tools	.
6			all_F	All	crowbars	are	insects	.
1		34	some_UI	Some	crows	are	birds	.
2			all_UI	All	crows	are	birds	.
5			some_F	Some	crows	are	cars	.
6			all_F	All	crows	are	weapons	.
1		35	some_UI	Some	daffodils	are	flowers	.
2			all_UI	All	daffodils	are	flowers	.
5			some_F	Some	daffodils	are	fruit	.
6			all_F	All	daffodils	are	fish	.
1		36	some_UI	Some	daggers	are	weapons	.
2			all_UI	All	daggers	are	weapons	.
5			some_F	Some	daggers	are	birds	.
6			all_F	All	daggers	are	reptiles	.
1		37	some_UI	Some	daisies	are	flowers	.
2			all_UI	All	daisies	are	flowers	.
5			some_F	Some	daisies	are	fruit	.
6			all_F	All	daisies	are	fish	.
1		38	some_UI	Some	dalmatians	are	dogs	.
2			all_UI	All	dalmatians	are	dogs	.
5			some_F	Some	dalmatians	are	fish	.
6			all_F	All	dalmatians	are	cars	.
1		39	some_UI	Some	dandelion	are	flowers	.
2			all_UI	All	dandelion	are	flowers	.
5			some_F	Some	dandelion	are	fruit	.
6			all_F	All	dandelion	are	fish	.
1		40	some_UI	Some	deer	are	mammals	.
2			all_UI	All	deer	are	mammals	.
5			some_F	Some	deer	are	trees	.
6			all_F	All	deer	are	insects	.
1		41	some_UI	Some	doves	are	birds	.
2			all_UI	All	doves	are	birds	.
5			some_F	Some	doves	are	cars	.
6			all_F	All	doves	are	weapons	.
1		42	some_UI	Some	drills	are	tools	.
2			all_UI	All	drills	are	tools	.
5			some_F	Some	drills	are	tools	.
6			all_F	All	drills	are	insects	.
1		43	some_UI	Some	eagles	are	birds	.
2			all_UI	All	eagles	are	birds	.
5			some_F	Some	eagles	are	cars	.
6			all_F	All	eagles	are	weapons	.
1		44	some_UI	Some	elephants	are	mammals	.
2			all_UI	All	elephants	are	mammals	.
5			some_F	Some	elephants	are	trees	.
6			all_F	All	elephants	are	insects	.
1		45	some_UI	Some	elms	are	trees	.
2			all_UI	All	elms	are	trees	.
5			some_F	Some	elms	are	reptiles	.
6			all_F	All	elms	are	mammals	.
1		46	some_UI	Some	Ferraris	are	cars	.
2			all_UI	All	Ferraris	are	cars	.
5			some_F	Some	Ferraris	are	dogs	.
6			all_F	All	Ferraris	are	birds	.
1		47	some_UI	Some	firs	are	trees	.
2			all_UI	All	firs	are	trees	.
5			some_F	Some	firs	are	reptiles	.
6			all_F	All	firs	are	mammals	.
1		48	some_UI	Some	flamingoes	are	birds	.
2			all_UI	All	flamingoes	are	birds	.
5			some_F	Some	flamingoes	are	cars	.
6			all_F	All	flamingoes	are	weapons	.
1		49	some_UI	Some	fleas	are	insects	.
2			all_UI	All	fleas	are	insects	.
5			some_F	Some	fleas	are	tools	.
6			all_F	All	fleas	are	fruit	.
1		50	some_UI	Some	flies	are	insects	.
2			all_UI	All	flies	are	insects	.
5			some_F	Some	flies	are	tools	.
6			all_F	All	flies	are	fruit	.
1		51	some_UI	Some	flounders	are	fish	.
2			all_UI	All	flounders	are	fish	.
5			some_F	Some	flounders	are	flowers	.
6			all_F	All	flounders	are	dogs	.
1		52	some_UI	Some	Fords	are	cars	.
2			all_UI	All	Fords	are	cars	.
5			some_F	Some	Fords	are	dogs	.
6			all_F	All	Fords	are	birds	.
1		53	some_UI	Some	foxes	are	mammals	.
2			all_UI	All	foxes	are	mammals	.
5			some_F	Some	foxes	are	trees	.
6			all_F	All	foxes	are	insects	.
1		54	some_UI	Some	gardenias	are	flowers	.
2			all_UI	All	gardenias	are	flowers	.
5			some_F	Some	gardenias	are	fruit	.
6			all_F	All	gardenias	are	fish	.
1		55	some_UI	Some	geckos	are	reptiles	.
2			all_UI	All	geckos	are	reptiles	.
5			some_F	Some	geckos	are	weapons	.
6			all_F	All	geckos	are	trees	.
1		56	some_UI	Some	goats	are	mammals	.
2			all_UI	All	goats	are	mammals	.
5			some_F	Some	goats	are	trees	.
6			all_F	All	goats	are	insects	.
1		57	some_UI	Some	grapes	are	fruit	.
2			all_UI	All	grapes	are	fruit	.
5			some_F	Some	grapes	are	insects	.
6			all_F	All	grapes	are	flowers	.
1		58	some_UI	Some	grenades	are	weapons	.
2			all_UI	All	grenades	are	weapons	.
5			some_F	Some	grenades	are	birds	.
6			all_F	All	grenades	are	reptiles	.
1		59	some_UI	Some	guns	are	weapons	.
2			all_UI	All	guns	are	weapons	.
5			some_F	Some	guns	are	birds	.
6			all_F	All	guns	are	reptiles	.
1		60	some_UI	Some	haddock	are	fish	.
2			all_UI	All	haddock	are	fish	.
5			some_F	Some	haddock	are	flowers	.
6			all_F	All	haddock	are	dogs	.
1		61	some_UI	Some	halibut	are	fish	.
2			all_UI	All	halibut	are	fish	.
5			some_F	Some	halibut	are	flowers	.
6			all_F	All	halibut	are	dogs	.
1		62	some_UI	Some	hammers	are	tools	.
2			all_UI	All	hammers	are	tools	.
5			some_F	Some	hammers	are	tools	.
6			all_F	All	hammers	are	insects	.
1		63	some_UI	Some	hawks	are	birds	.
2			all_UI	All	hawks	are	birds	.
5			some_F	Some	hawks	are	cars	.
6			all_F	All	hawks	are	weapons	.
1		64	some_UI	Some	herring	are	fish	.
