Item,Condition,Scalar,Subject,Are,Target
1,some_UI,Some,alligators,are,reptiles
1,all_UI,All,alligators,are,reptiles
1,some_F,Some,alligators,are,weapons
1,all_F,All,alligators,are,trees
2,some_UI,Some,anacondas,are,reptiles
2,all_UI,All,anacondas,are,reptiles
2,some_F,Some,anacondas,are,weapons
2,all_F,All,anacondas,are,trees
3,some_UI,Some,ants,are,insects
3,all_UI,All,ants,are,insects
3,some_F,Some,ants,are,tools
3,all_F,All,ants,are,fruit
4,some_UI,Some,apples,are,fruit
4,all_UI,All,apples,are,fruit
4,some_F,Some,apples,are,insects
4,all_F,All,apples,are,flowers
5,some_UI,Some,apricots,are,fruit
5,all_UI,All,apricots,are,fruit
5,some_F,Some,apricots,are,insects
5,all_F,All,apricots,are,flowers
6,some_UI,Some,Audis,are,cars
6,all_UI,All,Audis,are,cars
6,some_F,Some,Audis,are,dogs
6,all_F,All,Audis,are,birds
7,some_UI,Some,bananas,are,fruit
7,all_UI,All,bananas,are,fruit
7,some_F,Some,bananas,are,insects
7,all_F,All,bananas,are,flowers
8,some_UI,Some,bazookas,are,weapons
8,all_UI,All,bazookas,are,weapons
8,some_F,Some,bazookas,are,birds
8,all_F,All,bazookas,are,reptiles
9,some_UI,Some,beagles,are,dogs
9,all_UI,All,beagles,are,dogs
9,some_F,Some,beagles,are,fish
9,all_F,All,beagles,are,cars
10,some_UI,Some,bears,are,mammals
10,all_UI,All,bears,are,mammals
10,some_F,Some,bears,are,trees
10,all_F,All,bears,are,insects
11,some_UI,Some,beeches,are,trees
11,all_UI,All,beeches,are,trees
11,some_F,Some,beeches,are,reptiles
11,all_F,All,beeches,are,mammals
12,some_UI,Some,bees,are,insects
12,all_UI,All,bees,are,insects
12,some_F,Some,bees,are,tools
12,all_F,All,bees,are,fruit
13,some_UI,Some,beetles,are,insects
13,all_UI,All,beetles,are,insects
13,some_F,Some,beetles,are,tools
13,all_F,All,beetles,are,fruit
14,some_UI,Some,birches,are,trees
14,all_UI,All,birches,are,trees
14,some_F,Some,birches,are,reptiles
14,all_F,All,birches,are,mammals
15,some_UI,Some,bombs,are,weapons
15,all_UI,All,bombs,are,weapons
15,some_F,Some,bombs,are,birds
15,all_F,All,bombs,are,reptiles
16,some_UI,Some,buffalo,are,mammals
16,all_UI,All,buffalo,are,mammals
16,some_F,Some,buffalo,are,trees
16,all_F,All,buffalo,are,insects
17,some_UI,Some,Buicks,are,cars
17,all_UI,All,Buicks,are,cars
17,some_F,Some,Buicks,are,dogs
17,all_F,All,Buicks,are,birds
18,some_UI,Some,canaries,are,birds
18,all_UI,All,canaries,are,birds
18,some_F,Some,canaries,are,cars
18,all_F,All,canaries,are,weapons
19,some_UI,Some,carnations,are,flowers
19,all_UI,All,carnations,are,flowers
19,some_F,Some,carnations,are,fruit
19,all_F,All,carnations,are,fish
20,some_UI,Some,carp,are,fish
20,all_UI,All,carp,are,fish
20,some_F,Some,carp,are,flowers
20,all_F,All,carp,are,dogs
21,some_UI,Some,cedars,are,trees
21,all_UI,All,cedars,are,trees
21,some_F,Some,cedars,are,reptiles
21,all_F,All,cedars,are,mammals
22,some_UI,Some,chainsaws,are,tools
22,all_UI,All,chainsaws,are,tools
22,some_F,Some,chainsaws,are,tools
22,all_F,All,chainsaws,are,insects
23,some_UI,Some,chameleons,are,reptiles
23,all_UI,All,chameleons,are,reptiles
23,some_F,Some,chameleons,are,weapons
23,all_F,All,chameleons,are,trees
24,some_UI,Some,Chevrolets,are,cars
24,all_UI,All,Chevrolets,are,cars
24,some_F,Some,Chevrolets,are,dogs
24,all_F,All,Chevrolets,are,birds
25,some_UI,Some,chihuahuas,are,dogs
25,all_UI,All,chihuahuas,are,dogs
25,some_F,Some,chihuahuas,are,fish
25,all_F,All,chihuahuas,are,cars
26,some_UI,Some,chisels,are,tools
